DPR_No,Date,Contractor,Crew,Discipline,Spread,Chainage_From,Chainage_To,Quantity,Unit,Progress_Pct,Remarks,Reported_By
DPR-1222,2025-07-03,Ridgeline Constructors,CW-05,Bending,Spread B,12+800,13+000,10,joints,9.2,Consumables shortage in morning shift,R. Iyer
DPR-1223,2025-07-03,Delta Civil Co,CW-06,Civil,PS-1,-,-,8,m3,61.0,Core samples dispatched to NABL accredited test lab,R. Iyer
DPR-1224,2025-07-03,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,HDD geotechnical assessment ongoing; soil report review,A. Fernandes
DPR-1225,2025-07-04,Ridgeline Constructors,CW-01,Welding,Spread A,5+700,6+000,16,joints,36.4,Mainline welding resumed at good pace; root/hot pass clear,S. Menon
DPR-1226,2025-07-04,Apex Pipeline Services,CW-02,NDT,Spread A,4+600,4+800,14,joints,31.0,Second RT crew arrived on site; setting up mobile darkroom,K. Bhatt
DPR-1227,2025-07-04,Delta Civil Co,CW-03,Trenching,Spread A,8+710,8+745,35,m,72.9,Ditch dry; double shift on Komatsu PC300 excavator,S. Menon
DPR-1228,2025-07-04,Ridgeline Constructors,CW-01,Coating,Spread A,4+000,4+300,14,joints,33.0,Field joint coating with 3-layer PE heat shrink sleeves,K. Bhatt
DPR-1229,2025-07-04,Apex Pipeline Services,CW-04,Stringing,Spread B,14+260,14+280,20,m,43.0,Pipe stringing in progress along Spread B ROW,R. Iyer
DPR-1230,2025-07-04,Ridgeline Constructors,CW-05,Bending,Spread B,13+000,13+250,18,joints,11.5,Production ramping up; all bends checked with internal gauge,R. Iyer
DPR-1231,2025-07-04,Delta Civil Co,CW-06,Civil,PS-1,-,-,15,m3,62.0,Excavation for drainage sump and cable trenching,R. Iyer
DPR-1232,2025-07-04,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,Rig re-anchoring and high-pressure mud pump servicing,A. Fernandes
DPR-1233,2025-07-05,Ridgeline Constructors,CW-01,Welding,Spread A,6+000,6+300,18,joints,37.2,Progress as planned; 4 welder pairs active,S. Menon
DPR-1234,2025-07-05,Apex Pipeline Services,CW-02,NDT,Spread A,4+800,5+200,22,joints,33.5,Second RT crew operational; backlog starting to clear,K. Bhatt
DPR-1235,2025-07-05,Delta Civil Co,CW-03,Trenching,Spread A,8+745,8+775,30,m,73.1,Trenching through rocky section; hydraulic breaker active,S. Menon
DPR-1236,2025-07-05,Ridgeline Constructors,CW-01,Coating,Spread A,4+300,4+600,16,joints,34.5,Awaiting RT clearance on joints past 4+600,K. Bhatt
DPR-1237,2025-07-05,Apex Pipeline Services,CW-04,Stringing,Spread B,14+280,14+305,25,m,43.8,Normal shift; ROW clear ahead of stringing,R. Iyer
DPR-1238,2025-07-05,Ridgeline Constructors,CW-05,Bending,Spread B,13+250,13+500,16,joints,13.2,Progress as planned; staging bends at road crossing,R. Iyer
DPR-1239,2025-07-05,Delta Civil Co,CW-06,Civil,Spread B,17+500,18+000,22,m3,87.5,Culvert installation at access road KP 17+800,S. Menon
DPR-1240,2025-07-05,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,Revised drilling procedure submitted for Client review,A. Fernandes
