Item_No,Date_Raised,Area,Chainage,Discipline,Description,Priority,Assigned_To,Status,Target_Date,Completion_Date,Verified_By,Comments
PL-4A-024,2025-07-03,Spread A,10+100,Civil,Culvert pipe at farmer crossing CH 10+100 crushed by sideboom transit,B,Delta Civil Co,In Progress,2025-07-14,,S. Menon,Replacement 600mm RC culvert pipe ordered; temporary bypass crossing constructed
PL-4A-025,2025-07-04,Spread A,10+600,Restoration,Topsoil mound contaminated with subsoil marl during ROW grading,C,Delta Civil Co,Open,2025-07-25,,S. Menon,Subsoil clods separated; topsoil segregation restored per environmental management plan
PL-4A-026,2025-07-05,Spread A,11+200,Bending,Field bend FB-4A-122 tangent straight end length 1.2m vs 1.5m minimum for clamp,B,Ridgeline Constructors,Closed,2025-07-08,2025-07-07,K. Bhatt,Modified external line-up clamp deployed; fit-up verified within API 1104 tolerance
PL-4A-027,2025-07-06,Spread A,11+750,Welding,Weld cap excessive reinforcement height (3.5mm vs 2.5mm max) on joint W-4A-0231,B,Ridgeline Welding CW-01,Closed,2025-07-09,2025-07-08,K. Bhatt,Smooth blending grind completed per API 1104; wall thickness preserved >11.9mm
PL-4A-028,2025-07-07,Spread A,11+950,Pipeline,Night cap expander plug not sealed at end of day stringing section,A,Ridgeline Constructors,Closed,2025-07-08,2025-07-07,S. Menon,Inflatable pipe night plug installed and locked to prevent water/vermin ingress
PL-4A-029,2025-07-08,PS-1,Station,Civil,Chamfer edge spalling on equipment foundation plinth F-01,C,Delta Civil Co,In Progress,2025-07-18,,D. Evans,Polymer-modified structural repair mortar (SikaGrout 212) staged for application
PL-4A-030,2025-07-09,PS-1,Station,Mechanical,Stainless steel engraved tag missing on manual bypass valve HV-104,C,Ridgeline QA,Open,2025-07-22,,M. Taylor,Valve tag plate fabricated with 316SS wire tie; pending installation
PL-4A-031,2025-07-10,PS-1,Station,E&I,Flange insulation kit dielectric resistance test reading 120 ohms vs 10k ohms min,A,Apex Pipeline Services,In Progress,2025-07-16,,K. Bhatt,Insulating sleeves and washers disassembled; moisture wiped and gasket re-centered
PL-4A-032,2025-07-11,PS-1,Station,Mechanical,Flange stud bolt protrusion insufficient (flush with nut vs 2-3 threads exposed),B,Ridgeline Constructors,In Progress,2025-07-15,,M. Taylor,Stud bolts to be backed off and replaced with 12-inch length bolts per drawing
PL-4A-033,2025-07-12,Spread A,6+500,Restoration,Farmer drainage ditch blocked by spoil bank berm,B,Delta Civil Co,Closed,2025-07-14,2025-07-13,S. Menon,Mini-excavator cleared ditch flow line; natural water run-off restored
PL-4A-034,2025-07-13,Spread A,7+800,Survey,Temporary bench mark (TBM-08) dislodged by earthmoving dumper,B,Ridgeline Survey,Open,2025-07-20,,R. Iyer,Survey crew scheduled to re-establish TBM-08 from permanent geodetic datum
PL-4A-035,2025-07-14,Spread A,12+000,Pipeline,Spread A/B golden tie-in weld point temporary end bevel oxidation,A,Apex Pipeline Services,Open,2025-07-25,,K. Bhatt,Bevels protected with Denso paste and sealed blind cap until golden tie-in readiness
