DPR_No,Date,Contractor,Crew,Discipline,Spread,Chainage_From,Chainage_To,Quantity,Unit,Progress_Pct,Remarks,Reported_By
DPR-1273,2025-07-11,Apex Pipeline Services,CW-02,NDT,Spread A,6+800,7+150,27,joints,44.0,NDT clearance complete up to KP 7+150; 0 repairs today,K. Bhatt
DPR-1274,2025-07-11,Delta Civil Co,CW-03,Trenching,Spread A,8+900,8+935,35,m,74.5,Ditcher machine operating in dry clay,S. Menon
DPR-1275,2025-07-11,Ridgeline Constructors,CW-01,Coating,Spread A,5+850,6+200,24,joints,40.8,Joint coating clearance granted; holiday testing completed,K. Bhatt
DPR-1276,2025-07-11,Apex Pipeline Services,CW-04,Stringing,Spread B,14+395,14+415,20,m,47.5,Pipe stringing in progress along Spread B mainline,R. Iyer
DPR-1277,2025-07-11,Ridgeline Constructors,CW-05,Bending,Spread B,14+850,15+200,28,joints,24.2,Spread B bending output at peak; 28 joints cold bent,R. Iyer
DPR-1278,2025-07-11,Delta Civil Co,CW-06,Civil,PS-1,-,-,22,m3,66.0,Grout bed preparation and structural holding-down bolt alignment,R. Iyer
DPR-1279,2025-07-12,Ridgeline Constructors,CW-01,Welding,Spread A,7+800,8+050,19,joints,42.2,Mainline welding nearing river crossing tie-in boundary,S. Menon
DPR-1280,2025-07-12,Apex Pipeline Services,CW-02,NDT,Spread A,7+150,7+500,28,joints,45.8,RT backlog officially closed per NCR-2025-014 corrective action,K. Bhatt
DPR-1281,2025-07-12,Delta Civil Co,CW-03,Trenching,Spread A,8+935,8+965,30,m,74.7,Trenching progressing smoothly; safety benching checked,S. Menon
DPR-1282,2025-07-12,Ridgeline Constructors,CW-01,Coating,Spread A,6+200,6+550,23,joints,42.4,Progress as planned; sleeve shrink application inspected,K. Bhatt
DPR-1283,2025-07-12,Apex Pipeline Services,CW-04,Stringing,Spread B,14+415,14+435,20,m,48.2,Stringing complete up to KP 14+435,R. Iyer
DPR-1284,2025-07-12,Ridgeline Constructors,CW-05,Bending,Spread B,15+200,15+500,22,joints,26.0,Bending staged ahead for upcoming trenching front,R. Iyer
DPR-1285,2025-07-12,Apex Pipeline Services,CW-07,HDD,Spread A,8+400,8+400,0,m,15.0,Fluid circulation test with new polymer mud formulation successful,A. Fernandes
