PTW_No,Date_Issued,Valid_Until,Type,Location,Chainage,Description,Issued_To,Authorized_By,Status,Closed_Date,Comments
PTW-2025-0112,2025-06-16,2025-06-16,Radiography,Spread B - Mainline,15+000 to 15+500,Night-time gamma RT of Spread B mainline joints,Ridgeline Constructors (CW-04),K. Bhatt,Closed,2025-06-16,Radiation boundary monitored; all 12 joints inspected
PTW-2025-0113,2025-06-18,2025-06-19,Excavation,PS-1 Foundation,PS-1,Excavation for pump foundation F-04 and oily water drainage sump,Delta Civil Co (CW-06),S. Menon,Closed,2025-06-19,Underground utilities scanned with CAT scanner before digging
PTW-2025-0114,2025-06-20,2025-06-21,Confined Space,PS-1 Concrete Sump,PS-1,Internal waterproofing coating application inside 3m deep concrete sump,Delta Civil Co (CW-06),J. Torres,Closed,2025-06-21,Forced ventilation operated continuously; VOC levels checked
PTW-2025-0115,2025-06-22,2025-06-23,Lifting,Spread A - Mainline,7+100,Sideboom lowering-in operation of welded pipeline string (300m section),Ridgeline Constructors (CW-01),S. Menon,Closed,2025-06-23,4-sideboom synchronized lowering-in executed smoothly
PTW-2025-0116,2025-06-24,2025-06-25,Hot Work,Spread A - Tie-in,8+100,Golden tie-in weld preparation upstream of HDD river crossing,Apex Pipeline Services (CW-02),R. Iyer,Closed,2025-06-25,Bevels pre-heated to 120C; welding habitat erected
PTW-2025-0117,2025-06-26,2025-06-27,Electrical Isolation,PS-1 MCC Room,PS-1,LOTO for emergency diesel generator transfer switch testing,Delta Civil Co (CW-06),J. Torres,Closed,2025-06-27,Padlocks and tags verified; functional test successful
PTW-2025-0118,2025-06-28,2025-06-29,Radiography,Spread A - Mainline,7+000 to 7+800,Radiography backlog clearance on 18 mainline welds,Ridgeline Constructors (CW-04),K. Bhatt,Closed,2025-06-29,Catch-up shift completed; RT backlog reduced to 7 days
PTW-2025-0119,2025-06-30,2025-07-02,Excavation,Spread B - Mainline,18+000 to 20+000,Trench excavation in loose gravel and sand,Delta Civil Co (CW-05),S. Menon,Closed,2025-07-02,Benching verified by third-party inspector
PTW-2025-0120,2025-07-03,2025-07-04,Lifting,PS-1 Pump Bay,PS-1,Rigging and setting of temporary structural steel skids,Delta Civil Co (CW-06),R. Iyer,Closed,2025-07-04,25T rough terrain crane used; outriggers on timber mats
PTW-2025-0121,2025-07-08,2025-07-10,Confined Space,Spread B - Culvert,16+800,Culvert sleeve inspection and casing insulator installation,Ridgeline Constructors (CW-03),J. Torres,Expired,2025-07-10,Work delayed due to storm runoff; permit expired without entry; re-issue required
PTW-2025-0122,2025-07-12,2025-07-13,Radiography,Spread B - Mainline,19+000 to 19+800,Radiographic examination of 14 mainline joints,Ridgeline Constructors (CW-04),K. Bhatt,Expired,2025-07-13,Night shift rained out after 4 joints; permit expired remainder shifted to new PTW
PTW-2025-0123,2025-07-20,2025-07-25,Hot Work,Spread B - Mainline,21+000 to 22+500,Mainline welding of 24in pipe joints J-210 to J-245,Apex Pipeline Services (CW-07),R. Iyer,Active,,Ongoing welding operation; daily gas testing and fire watch active
PTW-2025-0124,2025-07-22,2025-07-26,Excavation,Spread B - Trench,22+000 to 23+500,Continuous mechanical trenching and rock sawing,Delta Civil Co (CW-05),S. Menon,Active,,Active trenching front; daily morning inspection valid
PTW-2025-0125,2025-07-24,2025-07-27,Lifting,River Crossing,8+400,Rigging and positioning revised HDD drill string and mud recovery unit,Apex Pipeline Services (HDD Crew),A. Fernandes,Active,,Geotechnical reassessment complete; heavy tooling lift in progress
