Report_No,Date,Weld_No,Chainage,Spread,RT_Technique,Film_Density,Sensitivity_pct,Defect_Found,Defect_Type,Defect_Size_mm,Acceptance_Criteria,Result,Radiographer_ID,Comments
RT-2025-W27-012,2025-07-01,W-4A-0261,8+150,Spread A,DWSI Ir-192,2.40,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Mainline production joint; full RT coverage; accepted
RT-2025-W27-013,2025-07-01,W-4B-0101,12+150,Spread B,SWSI X-Ray,2.58,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Internal crawler X-ray; sound root and cap profile
RT-2025-W27-014,2025-07-01,W-4A-0248,7+950,Spread A,DWSI Se-75,2.34,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Tie-in weld; Se-75 source utilized; clear film quality
RT-2025-W27-015,2025-07-02,W-4A-0263,8+450,Spread A,DWSI Ir-192,2.44,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Girth butt weld; fully acceptable
RT-2025-W27-016,2025-07-02,W-4B-0103,12+450,Spread B,DWSI Ir-192,2.36,1.8%,Yes,Porosity,1.5,API 1104 Sec 9.3,Accept,RAD-01,Scattered porosity < 2mm; within API 1104 allowable distribution
RT-2025-W27-017,2025-07-02,W-4A-0264,8+600,Spread A,DWSI Ir-192,2.50,1.8%,Yes,Slag Inclusion,7.5,API 1104 Sec 9.6,Reject,RAD-02,Elongated slag inclusion 7.5mm in root pass exceeding allowable single length (6.0mm)
RT-2025-W27-018,2025-07-02,W-4A-0250,8+020,Spread A,SWSI X-Ray,2.65,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Backlog clearance shot; panoramic exposure; accepted
RT-2025-W27-019,2025-07-02,W-4B-0092,11+920,Spread B,DWSI Ir-192,2.31,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Backlog clearance; acceptable weld quality
RT-2025-W27-020,2025-07-02,W-4B-0094,11+980,Spread B,DWSI Ir-192,2.42,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Weld acceptable per API 1104 Section 9
RT-2025-W27-021,2025-07-02,W-4A-0245,7+880,Spread A,SWSI X-Ray,2.56,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Sound weld metal and heat affected zone; accepted
RT-2025-W27-022,2025-07-03,W-4A-0266,8+850,Spread A,DWSI Ir-192,2.40,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Production weld CW-02; complete root penetration
RT-2025-W27-023,2025-07-03,W-4A-0268,9+020,Spread A,DWSI Ir-192,2.48,1.8%,Yes,Slag Inclusion,3.1,API 1104 Sec 9.6,Accept,RAD-02,Isolated elongated slag 3.1mm at 10 o clock; acceptable
RT-2025-W27-024,2025-07-03,W-4B-0105,12+800,Spread B,SWSI X-Ray,2.60,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Crawler X-ray; excellent root condition; accepted
RT-2025-W27-025,2025-07-03,W-4B-0091,11+880,Spread B,DWSI Ir-192,2.33,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Backlog clearance joint; accepted
RT-2025-W27-026,2025-07-03,W-4B-0093,11+950,Spread B,DWSI Ir-192,2.37,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Backlog clearance joint; accepted
RT-2025-W27-027,2025-07-03,W-4A-0249,7+980,Spread A,DWSI Se-75,2.29,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Tie-in weld; no linear indications found
RT-2025-W27-028,2025-07-03,W-4B-0097,12+080,Spread B,SWSI X-Ray,2.54,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Clean root and cap; accepted
RT-2025-W27-029,2025-07-04,W-4B-0106,12+950,Spread B,SWSI X-Ray,2.60,1.6%,Yes,Porosity,18.0,API 1104 Sec 9.3,Reject,RAD-01,Cluster porosity aggregate diameter > 1/2in. in 12in. weld length; exceeds API 1104 Sec 9.3.2
RT-2025-W27-030,2025-07-04,W-4B-0108,13+240,Spread B,DWSI Ir-192,2.36,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Production weld CW-05; sound weld metal
RT-2025-W27-031,2025-07-04,W-4A-0270,9+150,Spread A,DWSI Ir-192,2.44,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Full RT evaluation complete; acceptable
RT-2025-W27-032,2025-07-04,W-4B-0099,12+120,Spread B,DWSI Ir-192,2.39,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Backlog clearance joint; accepted per standard
RT-2025-W27-033,2025-07-04,W-4A-0255,8+180,Spread A,SWSI X-Ray,2.58,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Crawler X-ray; clean root bead
RT-2025-W27-034,2025-07-04,W-4A-0256,8+200,Spread A,DWSI Ir-192,2.41,1.8%,Yes,Undercut,0.4,API 1104 Sec 9.7,Accept,RAD-02,Minor external undercut 0.4mm depth < 0.8mm limit; acceptable
RT-2025-W27-035,2025-07-04,W-4A-0259,8+280,Spread A,DWSI Ir-192,2.46,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Final shot for W27 shift; sound weld metal accepted
