Weld_No,Date,Spread,Chainage,Welder_ID,Crew,Procedure,Joint_Type,NDT_Method,NDT_Result,Repair_Required,Status
W-4A-0284,2025-07-14,Spread A,9+980,WLD-135,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0285,2025-07-15,Spread A,10+040,WLD-136,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0286,2025-07-15,Spread A,10+120,WLD-137,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0287,2025-07-16,Spread A,10+200,WLD-138,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0288,2025-07-16,Spread A,10+280,WLD-139,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0289,2025-07-17,Spread A,10+350,WLD-140,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0290,2025-07-17,Spread A,10+420,WLD-142,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0291,2025-07-18,Spread A,10+500,WLD-101,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0292,2025-07-21,Spread A,10+580,WLD-137,CW-03,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0293,2025-07-21,Spread A,10+650,WLD-104,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0294,2025-07-22,Spread A,10+720,WLD-107,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0295,2025-07-22,Spread A,10+800,WLD-111,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0296,2025-07-23,Spread A,10+880,WLD-112,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0297,2025-07-24,Spread A,10+960,WLD-114,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0298,2025-07-24,Spread A,11+040,WLD-115,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0299,2025-07-25,Spread A,11+120,WLD-121,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0300,2025-07-25,Spread A,11+200,WLD-122,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0301,2025-07-28,Spread A,11+310,WLD-140,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0302,2025-07-28,Spread A,11+420,WLD-124,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0303,2025-07-29,Spread A,11+550,WLD-125,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0304,2025-07-30,Spread A,11+680,WLD-128,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0305,2025-07-31,Spread A,11+820,WLD-131,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0101,2025-07-01,Spread B,12+150,WLD-103,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0102,2025-07-01,Spread B,12+300,WLD-109,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0103,2025-07-02,Spread B,12+450,WLD-113,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0104,2025-07-02,Spread B,12+620,WLD-116,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0105,2025-07-03,Spread B,12+800,WLD-119,CW-06,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0106,2025-07-03,Spread B,12+950,WLD-115,CW-04,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4B-0107,2025-07-04,Spread B,13+100,WLD-120,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0108,2025-07-04,Spread B,13+240,WLD-123,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0109,2025-07-07,Spread B,13+380,WLD-126,CW-06,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0110,2025-07-07,Spread B,13+520,WLD-127,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0111,2025-07-08,Spread B,13+660,WLD-129,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0112,2025-07-08,Spread B,13+800,WLD-133,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0113,2025-07-09,Spread B,13+940,WLD-134,CW-06,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0114,2025-07-09,Spread B,14+080,WLD-135,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0115,2025-07-10,Spread B,14+200,WLD-136,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0116,2025-07-10,Spread B,14+320,WLD-138,CW-06,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0117,2025-07-11,Spread B,14+450,WLD-139,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0118,2025-07-11,Spread B,14+580,WLD-126,CW-05,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4B-0119,2025-07-14,Spread B,14+720,WLD-142,CW-06,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0120,2025-07-14,Spread B,14+850,WLD-145,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0121,2025-07-15,Spread B,14+990,WLD-103,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0122,2025-07-16,Spread B,15+120,WLD-107,CW-06,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0123,2025-07-17,Spread B,15+260,WLD-109,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0124,2025-07-18,Spread B,15+400,WLD-113,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0125,2025-07-21,Spread B,15+550,WLD-116,CW-06,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0126,2025-07-21,Spread B,15+690,WLD-119,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0127,2025-07-22,Spread B,15+820,WLD-120,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0128,2025-07-23,Spread B,15+950,WLD-123,CW-06,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0129,2025-07-23,Spread B,16+080,WLD-134,CW-04,WPS-API1104-02,Butt,AUT,Reject,Yes,Repair Pending
W-4B-0130,2025-07-24,Spread B,16+210,WLD-127,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0131,2025-07-25,Spread B,16+350,WLD-129,CW-06,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0132,2025-07-28,Spread B,16+500,WLD-135,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0133,2025-07-29,Spread B,16+650,WLD-136,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0134,2025-07-30,Spread B,16+800,WLD-138,CW-06,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0135,2025-07-30,Spread B,16+950,WLD-142,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
