Weld_No,Date,Spread,Chainage,Welder_ID,Crew,Procedure,Joint_Type,NDT_Method,NDT_Result,Repair_Required,Status
W-4A-0033,2025-06-19,Spread A,6+500,WLD-139,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0034,2025-06-24,Spread A,0+500,WLD-128,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0035,2025-06-28,Spread A,0+000,WLD-102,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0036,2025-06-08,Spread A,4+700,WLD-123,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0037,2025-06-05,Spread A,4+700,WLD-131,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0038,2025-06-15,Spread A,4+400,WLD-110,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0039,2025-06-28,Spread A,4+400,WLD-135,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0040,2025-06-21,Spread A,11+100,WLD-121,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0041,2025-06-16,Spread A,6+700,WLD-122,CW-02,WPS-API1104-01,Butt,AUT,Reject,Yes,Repair Pending
W-4A-0042,2025-06-06,Spread A,9+200,WLD-122,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0043,2025-06-23,Spread A,6+900,WLD-104,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0044,2025-06-06,Spread A,10+600,WLD-103,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0045,2025-06-21,Spread A,5+500,WLD-124,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0046,2025-06-25,Spread A,4+400,WLD-130,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0047,2025-06-28,Spread A,10+600,WLD-103,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0048,2025-06-02,Spread A,3+700,WLD-133,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0049,2025-06-15,Spread A,7+000,WLD-136,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0050,2025-06-21,Spread A,7+800,WLD-110,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0051,2025-06-22,Spread A,9+700,WLD-121,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0052,2025-06-19,Spread A,0+700,WLD-140,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0053,2025-06-28,Spread A,10+600,WLD-110,CW-03,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0054,2025-06-09,Spread A,6+400,WLD-111,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0055,2025-06-20,Spread A,8+600,WLD-119,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0056,2025-06-28,Spread A,6+800,WLD-116,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0057,2025-06-12,Spread A,2+500,WLD-128,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0058,2025-06-06,Spread A,6+900,WLD-140,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0059,2025-06-28,Spread A,11+400,WLD-118,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0060,2025-06-21,Spread A,2+500,WLD-137,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0061,2025-06-13,Spread A,9+600,WLD-131,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0062,2025-06-28,Spread A,8+600,WLD-134,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0063,2025-06-08,Spread A,4+700,WLD-138,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0064,2025-06-18,Spread A,3+700,WLD-124,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0065,2025-06-10,Spread A,6+000,WLD-130,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0066,2025-06-02,Spread A,7+200,WLD-115,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0067,2025-06-28,Spread A,6+500,WLD-117,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0068,2025-06-29,Spread A,8+500,WLD-138,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0069,2025-06-08,Spread A,6+100,WLD-124,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0070,2025-06-14,Spread A,8+000,WLD-122,CW-02,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0071,2025-06-26,Spread A,5+200,WLD-122,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0072,2025-06-17,Spread A,10+100,WLD-116,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0073,2025-06-21,Spread A,5+800,WLD-135,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0074,2025-06-06,Spread A,6+300,WLD-114,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0075,2025-06-12,Spread A,6+200,WLD-131,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0076,2025-06-08,Spread A,9+700,WLD-131,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0077,2025-06-04,Spread A,7+100,WLD-126,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0078,2025-06-23,Spread A,11+500,WLD-122,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0079,2025-06-22,Spread A,4+400,WLD-123,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0080,2025-06-12,Spread A,2+400,WLD-108,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0081,2025-06-04,Spread A,3+000,WLD-138,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0082,2025-06-04,Spread A,5+700,WLD-127,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0083,2025-06-15,Spread A,11+900,WLD-124,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0084,2025-06-22,Spread A,3+700,WLD-106,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0085,2025-06-08,Spread A,1+200,WLD-103,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0086,2025-06-09,Spread A,6+600,WLD-134,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0087,2025-06-18,Spread A,2+300,WLD-122,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0088,2025-06-06,Spread A,11+600,WLD-139,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0089,2025-06-26,Spread A,1+700,WLD-108,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0090,2025-06-22,Spread A,2+900,WLD-108,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0091,2025-06-03,Spread A,2+500,WLD-123,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0092,2025-06-02,Spread A,2+500,WLD-133,CW-01,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4A-0093,2025-06-19,Spread A,10+100,WLD-126,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0094,2025-06-18,Spread A,1+200,WLD-139,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0095,2025-06-26,Spread A,9+900,WLD-103,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0096,2025-06-03,Spread A,2+700,WLD-132,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0097,2025-06-14,Spread A,11+800,WLD-102,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0098,2025-06-09,Spread A,5+800,WLD-124,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0099,2025-06-05,Spread A,3+400,WLD-125,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0100,2025-06-13,Spread A,8+000,WLD-116,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0101,2025-06-03,Spread A,4+200,WLD-137,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0102,2025-06-27,Spread A,9+900,WLD-108,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0103,2025-06-04,Spread A,10+100,WLD-128,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0104,2025-06-14,Spread A,7+100,WLD-132,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0105,2025-06-04,Spread A,8+900,WLD-131,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0106,2025-06-11,Spread A,3+400,WLD-139,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0107,2025-06-27,Spread A,9+800,WLD-101,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0108,2025-06-06,Spread A,6+500,WLD-121,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0109,2025-06-24,Spread A,5+300,WLD-120,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0110,2025-06-02,Spread A,2+800,WLD-132,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0111,2025-06-07,Spread A,8+900,WLD-136,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0112,2025-06-25,Spread A,6+700,WLD-120,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0113,2025-06-07,Spread A,1+300,WLD-138,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0114,2025-06-16,Spread A,11+300,WLD-112,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0115,2025-06-08,Spread A,10+100,WLD-133,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0116,2025-06-22,Spread A,4+700,WLD-101,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0117,2025-06-06,Spread A,9+700,WLD-105,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0118,2025-06-10,Spread A,10+900,WLD-133,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0119,2025-06-20,Spread A,4+800,WLD-119,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0120,2025-06-26,Spread A,8+500,WLD-101,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0121,2025-06-27,Spread A,8+200,WLD-118,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0122,2025-06-19,Spread A,6+500,WLD-120,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0123,2025-06-16,Spread A,11+400,WLD-107,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0124,2025-06-07,Spread A,9+700,WLD-113,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0125,2025-06-24,Spread A,11+400,WLD-124,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0126,2025-06-12,Spread A,11+300,WLD-139,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0127,2025-06-13,Spread A,10+300,WLD-101,CW-03,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0128,2025-06-27,Spread A,3+200,WLD-125,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0129,2025-06-24,Spread A,7+300,WLD-110,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0130,2025-06-26,Spread A,8+700,WLD-118,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0131,2025-06-07,Spread A,11+300,WLD-136,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0132,2025-06-26,Spread A,11+700,WLD-110,CW-03,WPS-API1104-01,Butt,AUT,Reject,Yes,Repair Pending
W-4A-0133,2025-06-24,Spread A,1+700,WLD-128,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0134,2025-06-21,Spread A,1+000,WLD-119,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0135,2025-06-18,Spread A,3+200,WLD-134,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0136,2025-06-27,Spread A,3+600,WLD-131,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0137,2025-06-20,Spread A,0+200,WLD-119,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0138,2025-06-11,Spread A,11+000,WLD-111,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0139,2025-06-11,Spread A,3+900,WLD-138,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0140,2025-06-22,Spread A,7+000,WLD-110,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0141,2025-06-08,Spread A,8+800,WLD-137,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0142,2025-06-25,Spread A,9+600,WLD-134,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0143,2025-06-24,Spread A,1+500,WLD-124,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0144,2025-06-05,Spread A,8+800,WLD-109,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0145,2025-06-11,Spread A,6+600,WLD-116,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0146,2025-06-28,Spread A,6+500,WLD-136,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0147,2025-06-10,Spread A,2+800,WLD-109,CW-01,WPS-API1104-01,Butt,AUT,Reject,Yes,Repair Pending
W-4A-0148,2025-06-23,Spread A,3+400,WLD-128,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0149,2025-06-02,Spread A,8+100,WLD-137,CW-02,WPS-API1104-02,Butt,AUT,Reject,Yes,Repair Pending
W-4A-0150,2025-06-13,Spread A,1+600,WLD-113,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0151,2025-06-15,Spread B,22+200,WLD-118,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0152,2025-06-21,Spread B,13+600,WLD-131,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0153,2025-06-19,Spread B,16+900,WLD-135,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0154,2025-06-03,Spread B,13+200,WLD-104,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0155,2025-06-27,Spread B,13+800,WLD-116,CW-05,WPS-API1104-02,Butt,AUT,Reject,Yes,Repair Pending
W-4B-0156,2025-06-27,Spread B,14+100,WLD-109,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0157,2025-06-06,Spread B,12+800,WLD-131,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0158,2025-06-26,Spread B,16+800,WLD-114,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0159,2025-06-05,Spread B,16+200,WLD-125,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0160,2025-06-20,Spread B,16+300,WLD-116,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0161,2025-06-23,Spread B,20+400,WLD-113,CW-05,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4B-0162,2025-06-16,Spread B,14+200,WLD-135,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0163,2025-06-29,Spread B,13+400,WLD-132,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0164,2025-06-16,Spread B,14+700,WLD-122,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0165,2025-06-05,Spread B,14+400,WLD-131,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0166,2025-06-13,Spread B,17+800,WLD-134,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0167,2025-06-29,Spread B,12+200,WLD-116,CW-05,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4B-0168,2025-06-24,Spread B,23+500,WLD-106,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0169,2025-06-26,Spread B,14+400,WLD-101,CW-05,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4B-0170,2025-06-10,Spread B,13+400,WLD-115,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0171,2025-06-22,Spread B,15+600,WLD-112,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0172,2025-06-04,Spread B,20+400,WLD-133,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0173,2025-06-13,Spread B,23+200,WLD-136,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0174,2025-06-15,Spread B,15+800,WLD-133,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0175,2025-06-27,Spread B,13+100,WLD-107,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0176,2025-06-19,Spread B,15+600,WLD-103,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0177,2025-06-12,Spread B,21+100,WLD-128,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0178,2025-06-25,Spread B,19+100,WLD-130,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0179,2025-06-03,Spread B,19+900,WLD-111,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0180,2025-06-26,Spread B,18+300,WLD-111,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0181,2025-06-02,Spread B,20+500,WLD-133,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0182,2025-06-22,Spread B,12+700,WLD-138,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0183,2025-06-12,Spread B,19+600,WLD-104,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0184,2025-06-18,Spread B,23+000,WLD-110,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0185,2025-06-20,Spread B,21+600,WLD-120,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0186,2025-06-27,Spread B,15+400,WLD-105,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0187,2025-06-06,Spread B,21+500,WLD-125,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0188,2025-06-13,Spread B,14+600,WLD-131,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0189,2025-06-23,Spread B,18+600,WLD-115,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0190,2025-06-27,Spread B,16+700,WLD-135,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0191,2025-06-05,Spread B,23+100,WLD-109,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0192,2025-06-03,Spread B,15+300,WLD-112,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0193,2025-06-07,Spread B,14+300,WLD-112,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0194,2025-06-19,Spread B,23+100,WLD-128,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0195,2025-06-28,Spread B,18+900,WLD-119,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0196,2025-06-27,Spread B,12+700,WLD-113,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0197,2025-06-07,Spread B,21+900,WLD-122,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0198,2025-06-24,Spread B,18+200,WLD-102,CW-05,WPS-API1104-02,Butt,AUT,Reject,Yes,Repair Pending
W-4B-0199,2025-06-22,Spread B,15+300,WLD-116,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0200,2025-06-26,Spread B,23+400,WLD-131,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0201,2025-06-23,Spread B,19+300,WLD-107,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0202,2025-06-02,Spread B,13+400,WLD-131,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0203,2025-06-17,Spread B,20+700,WLD-122,CW-04,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0204,2025-06-24,Spread B,17+300,WLD-115,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0205,2025-06-02,Spread B,21+000,WLD-106,CW-05,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0206,2025-06-18,Spread B,18+700,WLD-140,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0207,2025-06-13,Spread B,12+700,WLD-104,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0208,2025-06-11,Spread B,13+700,WLD-128,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0209,2025-06-23,Spread B,12+600,WLD-108,CW-05,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0210,2025-06-11,Spread B,22+200,WLD-133,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0211,2025-06-27,Spread B,21+900,WLD-105,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4B-0212,2025-06-27,Spread B,12+200,WLD-121,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0213,2025-06-13,Spread B,23+600,WLD-132,CW-05,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0214,2025-06-20,Spread B,15+300,WLD-139,CW-04,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4B-0215,2025-06-18,Spread B,14+500,WLD-121,CW-04,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4B-0216,2025-06-02,Spread B,16+900,WLD-129,CW-05,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4B-0217,2025-06-15,Spread B,12+600,WLD-120,CW-04,WPS-API1104-01,Butt,RT,Accept,No,Accepted
